ID,N,E,C
309,ofre,sacrifice,ofrer - ofret - har ofret
310,øke,increase,øker - økte - har økt
311,omarbeide,revise,omarbeider - omarbeidet - har omarbeidet
312,ombestemme seg,change mind,ombestemmer - ombestemte - har ombestemt
313,omgi,surround,omgir - omga - har omgitt
314,ønske,"desire, wish",ønsker - ønsket - har ønsket
315,oppdage,discover; reveal,oppdager - oppdaget - har oppdaget
316,oppdra,"bring up, raise",oppdrar - oppdro - har oppdratt
317,oppføre,"build, construct; perform",oppfører - oppførte - har oppført
318,oppleve,experience,opplever - opplevde - har opplevd
319,oppnå,"obtain, achieve",oppnår - oppnådde - har oppnådd
320,opprette,"establish, found",oppretter - opprettet - har opprettet
321,oppsøke,look up,oppsøker - oppsøkte - har oppsøkt
322,oppstå,come into being,oppstår - oppstod (oppsto) - har oppstått
323,ordne,fix; orginize,ordner - ordnet - har ordnet
324,orientere,orient,orienterer - orienterte - har orientert
325,orke,be able to,orker - orket - har orket
326,orme seg,wriggle,ormer - ormet - har ormet
327,øve,practice; exercise,øver - øvde - har øvd
328,overdrive,exaggerate,overdriver - overdrev - har overdrevet
329,overleve,survive,overlever - overlevde - har overlevd
330,overnatte,spend the night,overnatter - overnattet - har overnattet
331,overrumple,take by surprise,overrumpler - overrumplet - har overrumplet
332,oversette,translate,oversetter - oversatte - har oversatt
333,overskrive,sign,overskriver - overskrev - overskrevet
334,overta ,take over,overtar - overtok - har overtatt
335,overtale,persuade,overtaler - overtalte - har overtalt
336,pågripe,arrest,"pågriper - pågrep (pågreip, pågripet) - har pågrepet (pågripet)"
337,pakke,pack,pakker - pakket - har pakket
338,parkere,park,parkerer - parkerte - har parkert
339,passe,suit (fit well),passer - passet - har passet
340,passe på,"look after, take care of",passer på - passet på - har passet på
341,passere,pass by,passerer - passerte - har passert
342,påvirke,"affect, influence",påvirker - påvirket - har påvirket
343,peile,take a bearing; look after,peiler - peilet (peilte) - har peilet (peilt)
344,peke,point,peker - pekte - har pekt
345,pipe,"wheeze, peep; chirp",piper - pep (peip) - har pepet
346,pleie,use to; nurse,pleier - pleide - har pleid
347,plombere,stop; seal,plomberer - plomberte - har plombert
348,plystre,whistle,plystrer - plystret - har plystret
349,prate,"talk, chat",prater - pratet - har pratet
350,preke,preach,preker - prekte - har prekt
351,prisgi,give up,prisgir - prisga - har prisgitt
352,prøve,"try, test",prøver - prøvde - har prøvd
353,pusse,"clean, polish",pusser - pusset - har pusset
354,puste,breathe,puster - pustet - har pustet
355,putte,put,putter - puttet - har puttet
356,pynte,decorate,pynter - pyntet - har pyntet
357,råde,recommend,råder - rådet (rådde) - har rådet (rådd)
358,ramle,"rumble, rattle",ramler - ramlet - har ramlet
359,ramme,strike; overtake; affect,rammer - rammet - har rammet
360,rane,rob,raner - ranet (rante) - har ranet (rant)
361,råtne,"rot, decay",råtner - råtnet - har råtnet
362,regne,"rain; estimate, calculate",regner - regnet - har regnet
363,reise,travel; raise,reiser - reiste - har reist
364,reke,"loiter, drift, roam",reker - rekte - har rekt
365,rekke,"reach, catch (transport)",rekker - rakk - har rukket
366,rekke,reach,rekker - rakk - har rukket
367,rekommandere,register,rekommanderer - rekommanderte - har rekommandert
368,renne,"run, flow",renner - rant - har rent
369,rense,"clean, purify",renser - renset - har renset
370,reparere,repair,reparerer - reparerte - har reparert
371,repetere,"repeat, revise",repeterer - repeterte - har repetert
372,representere,represent,representerer - representerte - har representert
373,rette,"straighten, align; correct",retter - rettet - har rettet
374,ri,ride,rir - red (reid) - har ridd
375,ringe,ring,ringer - ringte - har ringt
376,rise,"birch, flog",riser - riste - har rist
377,rive,tear; grate,river - rev - har revet
378,ro,row (boat),ror - rodde - har rodd
379,rømme,run away,rømmer - rømte - har rømt
380,rope,"call, shout",roper - ropte - har ropt
381,røre,"touch; move, stir",rører - rørte - har rørt
382,røske,tear,røsker - røsket - har røsket
383,rote,make a mess; take root,roter - rotet - har rotet
384,røyke,smoke,røyker - røykte - har røykt
